Ticker,Sector,MarketCap,Beta_scaled,GrossMargin,ROE,PBR,PE,NetDebtEquity,SMA_20,EMA_20,MACD_std,MACD_alt,RSI_14,RSI_21,RSI_50
BAC,NATIONAL COMMERCIAL BANKS,349300835410.45,7436679485.0,,0.09179893016284396,1.1818311586195989,12.874127797819918,0.9584516120300853,39.5925,39.480314458165495,0.2192113928771775,0.5221263056781567,57.758224161932475,56.98843795926528,58.148849542197794
CMCSA,CABLE & OTHER PAY TELEVISION SERVICES,132247793094.34001,3733703927.0,,0.18453474046351612,1.5370858585083336,8.329520255359325,,38.37600000000002,38.39111798385597,-0.16089592249198859,-0.24505881872795499,46.873063506500316,45.60427842692373,45.278682744887654
CSCO,COMPUTER COMMUNICATIONS EQUIPMENT,272289474856.80002,3959998180.0,0.6473244986339052,0.22702774050201288,5.990044984420441,26.38463903651163,0.4421761224893856,46.51349999999999,46.84743648082071,0.10583904925796617,0.36175876629537385,58.234276041457036,53.296823159246884,48.13503907567116
V,"SERVICES-BUSINESS SERVICES, NEC",695211681069.92,1953500284.0,,0.504458696374275,17.76354041111787,35.213072029069544,,272.37249999999983,271.43790500675397,-2.0211918135705105,-5.896141860665523,34.400223042289866,37.486336181568056,45.69222988131181
PM,CIGARETTES,277028928052.36,1556517182.0,0.6334508443736852,-0.8752911285200085,-29.327644299424094,33.506159658001934,,102.37149999999997,101.53065616014203,0.39204860524763774,0.7739775716972304,51.56444857879708,53.31807023659202,56.02850399953808
PEP,BEVERAGES,186576503803.2,1371079540.0,0.5421390386023985,0.4912271288297473,10.011080313526856,20.379738263593666,2.2277727102001394,167.38099999999997,167.7473248063097,-2.3311769096492583,-4.54695896616721,32.345939295023896,37.015867081039424,44.426535130676164
DIS,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,218534041565.16,1797746311.0,,0.0547089706411933,2.070980852951612,37.85450226314914,0.43417486400940086,101.39049999999996,101.58123749894446,-1.1923451892912595,-2.911999985161998,31.38941347367677,35.42625070018789,44.15629931747526
IBM,COMPUTER & OFFICE EQUIPMENT,267136457552.25,929396575.0,0.566522716045448,0.2198736903588508,9.751997136211806,44.352724149468706,,170.426,171.3928172793888,0.7988232829027311,1.61525771520607,59.44539932267366,54.893964338264986,51.97625383031214
C,NATIONAL COMMERCIAL BANKS,160305572000.0,1840900000.0,,0.061294575050390224,0.7656714652808957,12.491667731629393,1.3722380902343265,61.131999999999984,61.59288811045349,0.12186560213926612,0.8963823294871958,61.692309955371705,57.89053146464582,57.15382338975865
ORCL,SERVICES-PREPACKAGED SOFTWARE,660075755000.0,2808833000.0,,0.602174638752444,31.478647288854976,52.274946939098754,,134.51300000000003,135.72840905819785,5.081610307275355,9.709599772641894,69.14485990978649,66.85500217210813,62.118542843931685
MO,CIGARETTES,97277092489.5,1684451818.0,0.5981763677242068,-5.148080438756856,-44.45936585443327,8.636105512207031,-11.392138939670932,45.9605,45.761547976221216,0.1630325060560054,0.40692649693080796,55.24611738301602,54.28371602092052,55.72836360917373
UNH,HOSPITAL & MEDICAL SERVICE PLANS,271697633483.91,907140441.0,0.8833460744782377,0.15510644360320755,2.7648637754295398,17.82558939010038,,493.18150000000026,493.34089196606664,-1.7514108354425844,-0.4907372089159594,49.99714661829993,49.87126762910281,49.351714856327746
